ID_Cliente;Genero;Jubilado;Pareja;Dependientes;Antigüedad;Abandono
1;Female;0;No;No;1;Yes
2;Male;0;Yes;No;69;No
3;Male;0;Yes;Yes;39;Yes
4;Male;0;No;No;72;No
5;Male;0;No;No;1;Yes
6;Female;0;Yes;Yes;46;No
7;Male;0;Yes;Yes;68;No
8;Male;0;Yes;No;58;No
9;Male;0;No;No;5;Yes
10;Female;0;No;No;27;No
11;Male;0;Yes;No;49;No
12;Male;0;No;No;33;No
13;Female;1;No;No;32;No
14;Male;0;Yes;Yes;39;Yes
15;Female;0;Yes;Yes;22;No
16;Male;1;No;No;9;Yes
17;Female;0;No;No;6;Yes
18;Male;0;Yes;No;5;Yes
19;Female;0;No;No;65;No
20;Male;0;Yes;Yes;40;No
21;Female;0;Yes;No;25;No
22;Male;0;No;No;72;No
23;Male;0;Yes;Yes;72;No
24;Female;0;No;No;26;No
25;Male;0;No;No;3;No
26;Male;0;No;No;54;No
27;Female;0;No;No;2;No
28;Female;1;No;No;72;No
29;Female;0;Yes;Yes;72;No
30;Male;0;No;No;49;No
31;Male;0;Yes;Yes;13;No
32;Female;0;No;No;2;No
33;Male;0;No;No;10;No
34;Female;0;Yes;Yes;16;No
35;Male;0;No;No;1;No
36;Male;0;No;No;53;No
37;Male;0;No;Yes;23;No
38;Male;0;No;No;1;Yes
39;Male;0;No;No;34;No
40;Female;0;Yes;No;21;No
41;Male;0;Yes;Yes;49;Yes
42;Female;0;No;No;39;No
43;Male;0;Yes;No;38;Yes
44;Male;0;Yes;Yes;62;No
45;Female;0;Yes;No;32;No
46;Female;1;Yes;No;33;Yes
47;Female;0;Yes;Yes;68;No
48;Male;1;No;No;57;No
49;Female;0;Yes;No;67;No
50;Female;1;No;No;1;Yes
51;Male;1;Yes;No;53;Yes
52;Male;0;Yes;No;54;No
53;Female;0;No;No;39;No
54;Female;0;No;No;1;Yes
55;Male;0;No;No;2;No
56;Male;0;No;No;41;No
57;Female;0;No;No;30;No
58;Female;0;No;No;9;Yes
59;Female;0;Yes;No;64;No
60;Female;1;Yes;Yes;65;No
61;Female;0;No;No;63;No
62;Male;0;No;No;18;No
63;Male;0;Yes;Yes;4;Yes
64;Female;0;Yes;No;43;No
65;Female;0;No;No;45;No
66;Female;1;No;No;47;Yes
67;Female;0;Yes;Yes;72;No
68;Male;1;No;No;53;Yes
69;Female;0;No;Yes;1;No
70;Male;0;No;No;70;No
71;Male;1;No;No;11;No
72;Female;0;Yes;Yes;41;No
73;Male;0;Yes;No;38;No
74;Male;1;No;No;30;No
75;Female;0;Yes;No;65;No
76;Female;0;No;No;31;No
77;Female;0;Yes;No;25;Yes
78;Female;0;Yes;No;40;No
79;Male;0;Yes;Yes;34;No
80;Female;0;No;No;16;No
81;Female;1;Yes;No;31;No
82;Female;0;No;Yes;31;Yes
83;Female;0;Yes;Yes;40;No
84;Male;0;Yes;No;71;No
85;Male;0;Yes;No;18;No
86;Male;0;Yes;No;71;No
87;Female;0;No;No;71;No
88;Female;0;No;No;38;No
89;Female;0;Yes;Yes;60;No
90;Male;0;No;No;63;No
91;Female;0;No;No;10;No
92;Female;0;No;No;8;Yes
93;Female;0;No;No;27;No
94;Male;0;Yes;No;1;Yes
95;Female;0;No;No;30;Yes
96;Male;0;Yes;Yes;50;Yes
97;Female;1;No;No;6;Yes
98;Male;0;No;No;1;No
99;Male;0;No;No;70;No
100;Male;0;No;No;24;No
101;Female;1;No;No;42;Yes
102;Female;0;No;Yes;1;Yes
103;Male;0;No;Yes;49;No
104;Female;0;No;No;29;No
105;Female;0;No;No;1;No
106;Female;0;Yes;No;59;No
107;Female;0;No;No;3;No
108;Male;0;No;No;22;No
109;Male;0;Yes;No;57;No
110;Female;1;No;No;1;Yes
111;Female;0;Yes;Yes;17;No
112;Male;0;No;No;72;No
113;Male;0;No;No;9;No
114;Female;0;Yes;No;25;No
115;Female;0;No;No;2;Yes
116;Female;0;Yes;No;57;No
117;Female;0;Yes;No;47;No
118;Female;0;No;No;50;No
119;Female;0;Yes;No;72;No
120;Female;0;No;No;8;No
121;Male;0;Yes;No;57;No
122;Male;0;No;No;21;No
123;Male;0;Yes;Yes;68;No
124;Male;0;Yes;No;9;Yes
125;Female;0;No;No;1;Yes
126;Female;1;Yes;Yes;29;No
127;Male;0;No;No;3;Yes
128;Female;0;No;No;56;No
129;Male;0;No;No;13;No
130;Male;1;Yes;No;58;Yes
131;Male;0;No;Yes;72;No
132;Male;0;Yes;Yes;72;No
133;Male;0;No;No;19;No
134;Male;0;Yes;Yes;72;No
135;Male;0;Yes;Yes;15;No
136;Female;0;No;No;12;Yes
137;Male;0;No;No;68;No
138;Male;1;Yes;No;61;No
139;Male;0;Yes;No;5;Yes
140;Male;0;Yes;No;50;No
